# country	capital	aliases
France	Paris
Japan	Tokyo
Canada	Ottawa
Australia	Canberra
Brazil	Brasília	Brasilia
Egypt	Cairo
Kenya	Nairobi
Norway	Oslo
Portugal	Lisbon	Lisboa
Thailand	Bangkok
Argentina	Buenos Aires
Turkey	Ankara
Poland	Warsaw	Warszawa
Greece	Athens
Hungary	Budapest
Finland	Helsinki
Austria	Vienna	Wien
Ireland	Dublin
New Zealand	Wellington
South Korea	Seoul
Vietnam	Hanoi
Peru	Lima
Colombia	Bogotá	Bogota
Chile	Santiago
Cuba	Havana	La Habana
Morocco	Rabat
Ethiopia	Addis Ababa
Nigeria	Abuja
Saudi Arabia	Riyadh
Indonesia	Jakarta
Malaysia	Kuala Lumpur
Philippines	Manila
Pakistan	Islamabad
Bangladesh	Dhaka
Ukraine	Kyiv	Kiev
Czech Republic	Prague	Praha
Romania	Bucharest
Bulgaria	Sofia
Croatia	Zagreb
Serbia	Belgrade
Denmark	Copenhagen
Sweden	Stockholm
Switzerland	Bern	Berne
Belgium	Brussels
Netherlands	Amsterdam
Iceland	Reykjavik	Reykjavík
Mongolia	Ulaanbaatar	Ulan Bator
Nepal	Kathmandu
Sri Lanka	Sri Jayawardenepura Kotte	Colombo|Kotte
Uruguay	Montevideo
Venezuela	Caracas
Ecuador	Quito
Bolivia	La Paz	Sucre
Ghana	Accra
Senegal	Dakar
Tanzania	Dodoma
Uganda	Kampala
Zimbabwe	Harare
Algeria	Algiers
Tunisia	Tunis
Jordan	Amman
Lebanon	Beirut
Iraq	Baghdad
Afghanistan	Kabul
Kazakhstan	Astana	Nur-Sultan
Uzbekistan	Tashkent
Azerbaijan	Baku
Georgia	Tbilisi
Armenia	Yerevan
Cambodia	Phnom Penh
Laos	Vientiane
Myanmar	Naypyidaw	Nay Pyi Taw
