# country	currency	aliases
Japan	Yen	Japanese yen|JPY
United Kingdom	Pound sterling	Pound|British pound|GBP
Switzerland	Swiss franc	Franc|CHF
India	Rupee	Indian rupee|INR
Mexico	Peso	Mexican peso|MXN
Brazil	Real	Brazilian real|BRL
Russia	Ruble	Rouble|Russian ruble|RUB
China	Renminbi	Yuan|RMB|CNY
South Korea	Won	South Korean won|KRW
Sweden	Krona	Swedish krona|SEK
Norway	Krone	Norwegian krone|NOK
Denmark	Krone	Danish krone|DKK
Poland	Złoty	Zloty|PLN
Turkey	Lira	Turkish lira|TRY
Thailand	Baht	Thai baht|THB
Vietnam	Dong	Vietnamese dong|VND
Indonesia	Rupiah	Indonesian rupiah|IDR
Malaysia	Ringgit	Malaysian ringgit|MYR
Philippines	Peso	Philippine peso|PHP
Israel	Shekel	New shekel|New Israeli shekel|ILS
Saudi Arabia	Riyal	Saudi riyal|SAR
United Arab Emirates	Dirham	UAE dirham|AED
Egypt	Pound	Egyptian pound|EGP
South Africa	Rand	ZAR
Nigeria	Naira	NGN
Kenya	Shilling	Kenyan shilling|KES
Argentina	Peso	Argentine peso|ARS
Chile	Peso	Chilean peso|CLP
Peru	Sol	Peruvian sol|PEN
Colombia	Peso	Colombian peso|COP
Czech Republic	Koruna	Czech koruna|CZK
Hungary	Forint	HUF
Romania	Leu	Romanian leu|RON
Ukraine	Hryvnia	UAH
Iceland	Króna	Krona|ISK
Canada	Dollar	Canadian dollar|CAD
Australia	Dollar	Australian dollar|AUD
New Zealand	Dollar	New Zealand dollar|NZD
Singapore	Dollar	Singapore dollar|SGD
Hong Kong	Dollar	Hong Kong dollar|HKD
Bangladesh	Taka	BDT
Pakistan	Rupee	Pakistani rupee|PKR
Sri Lanka	Rupee	Sri Lankan rupee|LKR
Nepal	Rupee	Nepalese rupee|NPR
Morocco	Dirham	Moroccan dirham|MAD
