# element	symbol	aliases
Hydrogen	H
Helium	He
Lithium	Li
Carbon	C
Nitrogen	N
Oxygen	O
Sodium	Na
Magnesium	Mg
Aluminium	Al
Silicon	Si
Phosphorus	P
Sulfur	S
Chlorine	Cl
Potassium	K
Calcium	Ca
Titanium	Ti
Chromium	Cr
Manganese	Mn
Iron	Fe
Cobalt	Co
Nickel	Ni
Copper	Cu
Zinc	Zn
Arsenic	As
Bromine	Br
Silver	Ag
Tin	Sn
Iodine	I
Tungsten	W
Platinum	Pt
Gold	Au
Mercury	Hg
Lead	Pb
Uranium	U
Neon	Ne
Argon	Ar
Krypton	Kr
Xenon	Xe
Radon	Rn
Barium	Ba
Strontium	Sr
Fluorine	F
Boron	B
Beryllium	Be
Antimony	Sb
Bismuth	Bi
Cadmium	Cd
Palladium	Pd
Rhodium	Rh
